Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,2500,160,60,58,42,45,43,47
2,2750,270,65,63,45,48.5,46.5,50.5
3,3000,380,70,68,48,52,50,54
4,3250,490,75,73,51,55.5,53.5,57.5
5,3500,600,80,78,54,59,57,61
6,3750,710,85,83,57,62.5,60.5,64.5
7,4000,820,90,88,60,66,64,68
8,4250,930,95,93,63,69.5,67.5,71.5
9,4500,1040,100,98,66,73,71,75
10,4750,1150,105,103,69,76.5,74.5,78.5
11,5000,1260,110,108,72,80,78,82
12,5250,1370,115,113,75,83.5,81.5,85.5
13,5500,1480,120,118,78,87,85,89
14,5750,1590,125,123,81,90.5,88.5,92.5
15,6000,1700,130,128,84,94,92,96
16,6250,1810,135,133,87,97.5,95.5,99.5
17,6500,1920,140,138,90,101,99,103
18,6750,2030,145,143,93,104.5,102.5,106.5
19,7000,2140,150,148,96,108,106,110
20,7250,2250,155,153,99,111.5,109.5,113.5
21,7500,2360,160,158,102,115,113,117
22,7750,2470,165,163,105,118.5,116.5,120.5
23,8000,2580,170,168,108,122,120,124
24,8250,2690,175,173,111,125.5,123.5,127.5
25,8500,2800,180,178,114,129,127,131
26,8750,2910,185,183,117,132.5,130.5,134.5
27,9000,3020,190,188,120,136,134,138
28,9250,3130,195,193,123,139.5,137.5,141.5
29,9500,3240,200,198,126,143,141,145
30,9750,3350,205,203,129,146.5,144.5,148.5
31,10000,3460,210,208,132,150,148,152
32,10250,3570,215,213,135,153.5,151.5,155.5
33,10500,3680,220,218,138,157,155,159
34,10750,3790,225,223,141,160.5,158.5,162.5
35,11000,3900,230,228,144,164,162,166
36,11250,4010,235,233,147,167.5,165.5,169.5
37,11500,4120,240,238,150,171,169,173
38,11750,4230,245,243,153,174.5,172.5,176.5
39,12000,4340,250,248,156,178,176,180
40,12250,4450,255,253,159,181.5,179.5,183.5
41,12500,4560,260,258,162,185,183,187
42,12750,4670,265,263,165,188.5,186.5,190.5
43,13000,4780,270,268,168,192,190,194
44,13250,4890,275,273,171,195.5,193.5,197.5
45,13500,5000,280,278,174,199,197,201
46,13750,5110,285,283,177,202.5,200.5,204.5
47,14000,5220,290,288,180,206,204,208
48,14250,5330,295,293,183,209.5,207.5,211.5
49,14500,5440,300,298,186,213,211,215
50,14750,5550,305,303,189,216.5,214.5,218.5
51,15000,5660,310,308,192,220,218,222
52,15250,5770,315,313,195,223.5,221.5,225.5
53,15500,5880,320,318,198,227,225,229
54,15750,5990,325,323,201,230.5,228.5,232.5
55,16000,6100,330,328,204,234,232,236
56,16250,6210,335,333,207,237.5,235.5,239.5
57,16500,6320,340,338,210,241,239,243
58,16750,6430,345,343,213,244.5,242.5,246.5
59,17000,6540,350,348,216,248,246,250
60,17250,6650,355,353,219,251.5,249.5,253.5
61,17500,6760,360,358,222,255,253,257
62,17750,6870,365,363,225,258.5,256.5,260.5
63,18000,6980,370,368,228,262,260,264
64,18250,7090,375,373,231,265.5,263.5,267.5
65,18500,7200,380,378,234,269,267,271
66,18750,7310,385,383,237,272.5,270.5,274.5
67,19000,7420,390,388,240,276,274,278
68,19250,7530,395,393,243,279.5,277.5,281.5
69,19500,7640,400,398,246,283,281,285
70,19750,7750,405,403,249,286.5,284.5,288.5
71,20000,7860,410,408,252,290,288,292
72,20250,7970,415,413,255,293.5,291.5,295.5
73,20500,8080,420,418,258,297,295,299
74,20750,8190,425,423,261,300.5,298.5,302.5
75,21000,8300,430,428,264,304,302,306
76,21250,8410,435,433,267,307.5,305.5,309.5
77,21500,8520,440,438,270,311,309,313
78,21750,8630,445,443,273,314.5,312.5,316.5
79,22000,8740,450,448,276,318,316,320
80,22250,8850,455,453,279,321.5,319.5,323.5
81,22500,8960,460,458,282,325,323,327
82,22750,9070,465,463,285,328.5,326.5,330.5
83,23000,9180,470,468,288,332,330,334
84,23250,9290,475,473,291,335.5,333.5,337.5
85,23500,9400,480,478,294,339,337,341
86,23750,9510,485,483,297,342.5,340.5,344.5
87,24000,9620,490,488,300,346,344,348
88,24250,9730,495,493,303,349.5,347.5,351.5
89,24500,9840,500,498,306,353,351,355
90,24750,9950,505,503,309,356.5,354.5,358.5
91,25000,10060,510,508,312,360,358,362
92,25250,10170,515,513,315,363.5,361.5,365.5
93,25500,10280,520,518,318,367,365,369
94,25750,10390,525,523,321,370.5,368.5,372.5
95,26000,10500,530,528,324,374,372,376
96,26250,10610,535,533,327,377.5,375.5,379.5
97,26500,10720,540,538,330,381,379,383
98,26750,10830,545,543,333,384.5,382.5,386.5
99,27000,10940,550,548,336,388,386,390
100,27250,11050,555,553,339,391.5,389.5,393.5
101,27500,11160,560,558,342,395,393,397
102,27750,11270,565,563,345,398.5,396.5,400.5
103,28000,11380,570,568,348,402,400,404
104,28250,11490,575,573,351,405.5,403.5,407.5
105,28500,11600,580,578,354,409,407,411
106,28750,11710,585,583,357,412.5,410.5,414.5
107,29000,11820,590,588,360,416,414,418
108,29250,11930,595,593,363,419.5,417.5,421.5
109,29500,12040,600,598,366,423,421,425
110,29750,12150,605,603,369,426.5,424.5,428.5
