Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,300,120,32,29,30,34,20,18
2,380,210,34.5,31,32,36.5,21.5,19.5
3,460,300,37,33,34,39,23,21
4,540,390,39.5,35,36,41.5,24.5,22.5
5,620,480,42,37,38,44,26,24
6,700,570,44.5,39,40,46.5,27.5,25.5
7,780,660,47,41,42,49,29,27
8,860,750,49.5,43,44,51.5,30.5,28.5
9,940,840,52,45,46,54,32,30
10,1020,930,54.5,47,48,56.5,33.5,31.5
11,1100,1020,57,49,50,59,35,33
12,1180,1110,59.5,51,52,61.5,36.5,34.5
13,1260,1200,62,53,54,64,38,36
14,1340,1290,64.5,55,56,66.5,39.5,37.5
15,1420,1380,67,57,58,69,41,39
16,1500,1470,69.5,59,60,71.5,42.5,40.5
17,1580,1560,72,61,62,74,44,42
18,1660,1650,74.5,63,64,76.5,45.5,43.5
19,1740,1740,77,65,66,79,47,45
20,1820,1830,79.5,67,68,81.5,48.5,46.5
21,1900,1920,82,69,70,84,50,48
22,1980,2010,84.5,71,72,86.5,51.5,49.5
23,2060,2100,87,73,74,89,53,51
24,2140,2190,89.5,75,76,91.5,54.5,52.5
25,2220,2280,92,77,78,94,56,54
26,2300,2370,94.5,79,80,96.5,57.5,55.5
27,2380,2460,97,81,82,99,59,57
28,2460,2550,99.5,83,84,101.5,60.5,58.5
29,2540,2640,102,85,86,104,62,60
30,2620,2730,104.5,87,88,106.5,63.5,61.5
31,2700,2820,107,89,90,109,65,63
32,2780,2910,109.5,91,92,111.5,66.5,64.5
33,2860,3000,112,93,94,114,68,66
34,2940,3090,114.5,95,96,116.5,69.5,67.5
35,3020,3180,117,97,98,119,71,69
36,3100,3270,119.5,99,100,121.5,72.5,70.5
37,3180,3360,122,101,102,124,74,72
38,3260,3450,124.5,103,104,126.5,75.5,73.5
39,3340,3540,127,105,106,129,77,75
40,3420,3630,129.5,107,108,131.5,78.5,76.5
41,3500,3720,132,109,110,134,80,78
42,3580,3810,134.5,111,112,136.5,81.5,79.5
43,3660,3900,137,113,114,139,83,81
44,3740,3990,139.5,115,116,141.5,84.5,82.5
45,3820,4080,142,117,118,144,86,84
46,3900,4170,144.5,119,120,146.5,87.5,85.5
47,3980,4260,147,121,122,149,89,87
48,4060,4350,149.5,123,124,151.5,90.5,88.5
49,4140,4440,152,125,126,154,92,90
50,4220,4530,154.5,127,128,156.5,93.5,91.5
51,4300,4620,157,129,130,159,95,93
52,4380,4710,159.5,131,132,161.5,96.5,94.5
53,4460,4800,162,133,134,164,98,96
54,4540,4890,164.5,135,136,166.5,99.5,97.5
55,4620,4980,167,137,138,169,101,99
56,4700,5070,169.5,139,140,171.5,102.5,100.5
57,4780,5160,172,141,142,174,104,102
58,4860,5250,174.5,143,144,176.5,105.5,103.5
59,4940,5340,177,145,146,179,107,105
60,5020,5430,179.5,147,148,181.5,108.5,106.5
61,5100,5520,182,149,150,184,110,108
62,5180,5610,184.5,151,152,186.5,111.5,109.5
63,5260,5700,187,153,154,189,113,111
64,5340,5790,189.5,155,156,191.5,114.5,112.5
65,5420,5880,192,157,158,194,116,114
66,5500,5970,194.5,159,160,196.5,117.5,115.5
67,5580,6060,197,161,162,199,119,117
68,5660,6150,199.5,163,164,201.5,120.5,118.5
69,5740,6240,202,165,166,204,122,120
70,5820,6330,204.5,167,168,206.5,123.5,121.5
71,5900,6420,207,169,170,209,125,123
72,5980,6510,209.5,171,172,211.5,126.5,124.5
73,6060,6600,212,173,174,214,128,126
74,6140,6690,214.5,175,176,216.5,129.5,127.5
75,6220,6780,217,177,178,219,131,129
76,6300,6870,219.5,179,180,221.5,132.5,130.5
77,6380,6960,222,181,182,224,134,132
78,6460,7050,224.5,183,184,226.5,135.5,133.5
79,6540,7140,227,185,186,229,137,135
80,6620,7230,229.5,187,188,231.5,138.5,136.5
81,6700,7320,232,189,190,234,140,138
82,6780,7410,234.5,191,192,236.5,141.5,139.5
83,6860,7500,237,193,194,239,143,141
84,6940,7590,239.5,195,196,241.5,144.5,142.5
85,7020,7680,242,197,198,244,146,144
86,7100,7770,244.5,199,200,246.5,147.5,145.5
87,7180,7860,247,201,202,249,149,147
88,7260,7950,249.5,203,204,251.5,150.5,148.5
89,7340,8040,252,205,206,254,152,150
90,7420,8130,254.5,207,208,256.5,153.5,151.5
91,7500,8220,257,209,210,259,155,153
92,7580,8310,259.5,211,212,261.5,156.5,154.5
93,7660,8400,262,213,214,264,158,156
94,7740,8490,264.5,215,216,266.5,159.5,157.5
95,7820,8580,267,217,218,269,161,159
96,7900,8670,269.5,219,220,271.5,162.5,160.5
97,7980,8760,272,221,222,274,164,162
98,8060,8850,274.5,223,224,276.5,165.5,163.5
99,8140,8940,277,225,226,279,167,165
100,8220,9030,279.5,227,228,281.5,168.5,166.5
101,8300,9120,282,229,230,284,170,168
102,8380,9210,284.5,231,232,286.5,171.5,169.5
103,8460,9300,287,233,234,289,173,171
104,8540,9390,289.5,235,236,291.5,174.5,172.5
105,8620,9480,292,237,238,294,176,174
106,8700,9570,294.5,239,240,296.5,177.5,175.5
107,8780,9660,297,241,242,299,179,177
108,8860,9750,299.5,243,244,301.5,180.5,178.5
109,8940,9840,302,245,246,304,182,180
110,9020,9930,304.5,247,248,306.5,183.5,181.5
