Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,900,230,38,35,39,37,32,40
2,1150,370,42.5,38.5,43.5,40.5,36,44.5
3,1400,510,47,42,48,44,40,49
4,1650,650,51.5,45.5,52.5,47.5,44,53.5
5,1900,790,56,49,57,51,48,58
6,2150,930,60.5,52.5,61.5,54.5,52,62.5
7,2400,1070,65,56,66,58,56,67
8,2650,1210,69.5,59.5,70.5,61.5,60,71.5
9,2900,1350,74,63,75,65,64,76
10,3150,1490,78.5,66.5,79.5,68.5,68,80.5
11,3400,1630,83,70,84,72,72,85
12,3650,1770,87.5,73.5,88.5,75.5,76,89.5
13,3900,1910,92,77,93,79,80,94
14,4150,2050,96.5,80.5,97.5,82.5,84,98.5
15,4400,2190,101,84,102,86,88,103
16,4650,2330,105.5,87.5,106.5,89.5,92,107.5
17,4900,2470,110,91,111,93,96,112
18,5150,2610,114.5,94.5,115.5,96.5,100,116.5
19,5400,2750,119,98,120,100,104,121
20,5650,2890,123.5,101.5,124.5,103.5,108,125.5
21,5900,3030,128,105,129,107,112,130
22,6150,3170,132.5,108.5,133.5,110.5,116,134.5
23,6400,3310,137,112,138,114,120,139
24,6650,3450,141.5,115.5,142.5,117.5,124,143.5
25,6900,3590,146,119,147,121,128,148
26,7150,3730,150.5,122.5,151.5,124.5,132,152.5
27,7400,3870,155,126,156,128,136,157
28,7650,4010,159.5,129.5,160.5,131.5,140,161.5
29,7900,4150,164,133,165,135,144,166
30,8150,4290,168.5,136.5,169.5,138.5,148,170.5
31,8400,4430,173,140,174,142,152,175
32,8650,4570,177.5,143.5,178.5,145.5,156,179.5
33,8900,4710,182,147,183,149,160,184
34,9150,4850,186.5,150.5,187.5,152.5,164,188.5
35,9400,4990,191,154,192,156,168,193
36,9650,5130,195.5,157.5,196.5,159.5,172,197.5
37,9900,5270,200,161,201,163,176,202
38,10150,5410,204.5,164.5,205.5,166.5,180,206.5
39,10400,5550,209,168,210,170,184,211
40,10650,5690,213.5,171.5,214.5,173.5,188,215.5
41,10900,5830,218,175,219,177,192,220
42,11150,5970,222.5,178.5,223.5,180.5,196,224.5
43,11400,6110,227,182,228,184,200,229
44,11650,6250,231.5,185.5,232.5,187.5,204,233.5
45,11900,6390,236,189,237,191,208,238
46,12150,6530,240.5,192.5,241.5,194.5,212,242.5
47,12400,6670,245,196,246,198,216,247
48,12650,6810,249.5,199.5,250.5,201.5,220,251.5
49,12900,6950,254,203,255,205,224,256
50,13150,7090,258.5,206.5,259.5,208.5,228,260.5
51,13400,7230,263,210,264,212,232,265
52,13650,7370,267.5,213.5,268.5,215.5,236,269.5
53,13900,7510,272,217,273,219,240,274
54,14150,7650,276.5,220.5,277.5,222.5,244,278.5
55,14400,7790,281,224,282,226,248,283
56,14650,7930,285.5,227.5,286.5,229.5,252,287.5
57,14900,8070,290,231,291,233,256,292
58,15150,8210,294.5,234.5,295.5,236.5,260,296.5
59,15400,8350,299,238,300,240,264,301
60,15650,8490,303.5,241.5,304.5,243.5,268,305.5
61,15900,8630,308,245,309,247,272,310
62,16150,8770,312.5,248.5,313.5,250.5,276,314.5
63,16400,8910,317,252,318,254,280,319
64,16650,9050,321.5,255.5,322.5,257.5,284,323.5
65,16900,9190,326,259,327,261,288,328
66,17150,9330,330.5,262.5,331.5,264.5,292,332.5
67,17400,9470,335,266,336,268,296,337
68,17650,9610,339.5,269.5,340.5,271.5,300,341.5
69,17900,9750,344,273,345,275,304,346
70,18150,9890,348.5,276.5,349.5,278.5,308,350.5
71,18400,10030,353,280,354,282,312,355
72,18650,10170,357.5,283.5,358.5,285.5,316,359.5
73,18900,10310,362,287,363,289,320,364
74,19150,10450,366.5,290.5,367.5,292.5,324,368.5
75,19400,10590,371,294,372,296,328,373
76,19650,10730,375.5,297.5,376.5,299.5,332,377.5
77,19900,10870,380,301,381,303,336,382
78,20150,11010,384.5,304.5,385.5,306.5,340,386.5
79,20400,11150,389,308,390,310,344,391
80,20650,11290,393.5,311.5,394.5,313.5,348,395.5
81,20900,11430,398,315,399,317,352,400
82,21150,11570,402.5,318.5,403.5,320.5,356,404.5
83,21400,11710,407,322,408,324,360,409
84,21650,11850,411.5,325.5,412.5,327.5,364,413.5
85,21900,11990,416,329,417,331,368,418
86,22150,12130,420.5,332.5,421.5,334.5,372,422.5
87,22400,12270,425,336,426,338,376,427
88,22650,12410,429.5,339.5,430.5,341.5,380,431.5
89,22900,12550,434,343,435,345,384,436
90,23150,12690,438.5,346.5,439.5,348.5,388,440.5
91,23400,12830,443,350,444,352,392,445
92,23650,12970,447.5,353.5,448.5,355.5,396,449.5
93,23900,13110,452,357,453,359,400,454
94,24150,13250,456.5,360.5,457.5,362.5,404,458.5
95,24400,13390,461,364,462,366,408,463
96,24650,13530,465.5,367.5,466.5,369.5,412,467.5
97,24900,13670,470,371,471,373,416,472
98,25150,13810,474.5,374.5,475.5,376.5,420,476.5
99,25400,13950,479,378,480,380,424,481
100,25650,14090,483.5,381.5,484.5,383.5,428,485.5
101,25900,14230,488,385,489,387,432,490
102,26150,14370,492.5,388.5,493.5,390.5,436,494.5
103,26400,14510,497,392,498,394,440,499
104,26650,14650,501.5,395.5,502.5,397.5,444,503.5
105,26900,14790,506,399,507,401,448,508
106,27150,14930,510.5,402.5,511.5,404.5,452,512.5
107,27400,15070,515,406,516,408,456,517
108,27650,15210,519.5,409.5,520.5,411.5,460,521.5
109,27900,15350,524,413,525,415,464,526
110,28150,15490,528.5,416.5,529.5,418.5,468,530.5
