Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,175,80,28,14,23,15,14,24
2,225,170,30,15.5,25,16.5,15.5,26.5
3,275,260,32,17,27,18,17,29
4,325,350,34,18.5,29,19.5,18.5,31.5
5,375,440,36,20,31,21,20,34
6,425,530,38,21.5,33,22.5,21.5,36.5
7,475,620,40,23,35,24,23,39
8,525,710,42,24.5,37,25.5,24.5,41.5
9,575,800,44,26,39,27,26,44
10,625,890,46,27.5,41,28.5,27.5,46.5
11,675,980,48,29,43,30,29,49
12,725,1070,50,30.5,45,31.5,30.5,51.5
13,775,1160,52,32,47,33,32,54
14,825,1250,54,33.5,49,34.5,33.5,56.5
15,875,1340,56,35,51,36,35,59
16,925,1430,58,36.5,53,37.5,36.5,61.5
17,975,1520,60,38,55,39,38,64
18,1025,1610,62,39.5,57,40.5,39.5,66.5
19,1075,1700,64,41,59,42,41,69
20,1125,1790,66,42.5,61,43.5,42.5,71.5
21,1175,1880,68,44,63,45,44,74
22,1225,1970,70,45.5,65,46.5,45.5,76.5
23,1275,2060,72,47,67,48,47,79
24,1325,2150,74,48.5,69,49.5,48.5,81.5
25,1375,2240,76,50,71,51,50,84
26,1425,2330,78,51.5,73,52.5,51.5,86.5
27,1475,2420,80,53,75,54,53,89
28,1525,2510,82,54.5,77,55.5,54.5,91.5
29,1575,2600,84,56,79,57,56,94
30,1625,2690,86,57.5,81,58.5,57.5,96.5
31,1675,2780,88,59,83,60,59,99
32,1725,2870,90,60.5,85,61.5,60.5,101.5
33,1775,2960,92,62,87,63,62,104
34,1825,3050,94,63.5,89,64.5,63.5,106.5
35,1875,3140,96,65,91,66,65,109
36,1925,3230,98,66.5,93,67.5,66.5,111.5
37,1975,3320,100,68,95,69,68,114
38,2025,3410,102,69.5,97,70.5,69.5,116.5
39,2075,3500,104,71,99,72,71,119
40,2125,3590,106,72.5,101,73.5,72.5,121.5
41,2175,3680,108,74,103,75,74,124
42,2225,3770,110,75.5,105,76.5,75.5,126.5
43,2275,3860,112,77,107,78,77,129
44,2325,3950,114,78.5,109,79.5,78.5,131.5
45,2375,4040,116,80,111,81,80,134
46,2425,4130,118,81.5,113,82.5,81.5,136.5
47,2475,4220,120,83,115,84,83,139
48,2525,4310,122,84.5,117,85.5,84.5,141.5
49,2575,4400,124,86,119,87,86,144
50,2625,4490,126,87.5,121,88.5,87.5,146.5
51,2675,4580,128,89,123,90,89,149
52,2725,4670,130,90.5,125,91.5,90.5,151.5
53,2775,4760,132,92,127,93,92,154
54,2825,4850,134,93.5,129,94.5,93.5,156.5
55,2875,4940,136,95,131,96,95,159
56,2925,5030,138,96.5,133,97.5,96.5,161.5
57,2975,5120,140,98,135,99,98,164
58,3025,5210,142,99.5,137,100.5,99.5,166.5
59,3075,5300,144,101,139,102,101,169
60,3125,5390,146,102.5,141,103.5,102.5,171.5
61,3175,5480,148,104,143,105,104,174
62,3225,5570,150,105.5,145,106.5,105.5,176.5
63,3275,5660,152,107,147,108,107,179
64,3325,5750,154,108.5,149,109.5,108.5,181.5
65,3375,5840,156,110,151,111,110,184
66,3425,5930,158,111.5,153,112.5,111.5,186.5
67,3475,6020,160,113,155,114,113,189
68,3525,6110,162,114.5,157,115.5,114.5,191.5
69,3575,6200,164,116,159,117,116,194
70,3625,6290,166,117.5,161,118.5,117.5,196.5
71,3675,6380,168,119,163,120,119,199
72,3725,6470,170,120.5,165,121.5,120.5,201.5
73,3775,6560,172,122,167,123,122,204
74,3825,6650,174,123.5,169,124.5,123.5,206.5
75,3875,6740,176,125,171,126,125,209
76,3925,6830,178,126.5,173,127.5,126.5,211.5
77,3975,6920,180,128,175,129,128,214
78,4025,7010,182,129.5,177,130.5,129.5,216.5
79,4075,7100,184,131,179,132,131,219
80,4125,7190,186,132.5,181,133.5,132.5,221.5
81,4175,7280,188,134,183,135,134,224
82,4225,7370,190,135.5,185,136.5,135.5,226.5
83,4275,7460,192,137,187,138,137,229
84,4325,7550,194,138.5,189,139.5,138.5,231.5
85,4375,7640,196,140,191,141,140,234
86,4425,7730,198,141.5,193,142.5,141.5,236.5
87,4475,7820,200,143,195,144,143,239
88,4525,7910,202,144.5,197,145.5,144.5,241.5
89,4575,8000,204,146,199,147,146,244
90,4625,8090,206,147.5,201,148.5,147.5,246.5
91,4675,8180,208,149,203,150,149,249
92,4725,8270,210,150.5,205,151.5,150.5,251.5
93,4775,8360,212,152,207,153,152,254
94,4825,8450,214,153.5,209,154.5,153.5,256.5
95,4875,8540,216,155,211,156,155,259
96,4925,8630,218,156.5,213,157.5,156.5,261.5
97,4975,8720,220,158,215,159,158,264
98,5025,8810,222,159.5,217,160.5,159.5,266.5
99,5075,8900,224,161,219,162,161,269
100,5125,8990,226,162.5,221,163.5,162.5,271.5
101,5175,9080,228,164,223,165,164,274
102,5225,9170,230,165.5,225,166.5,165.5,276.5
103,5275,9260,232,167,227,168,167,279
104,5325,9350,234,168.5,229,169.5,168.5,281.5
105,5375,9440,236,170,231,171,170,284
106,5425,9530,238,171.5,233,172.5,171.5,286.5
107,5475,9620,240,173,235,174,173,289
108,5525,9710,242,174.5,237,175.5,174.5,291.5
109,5575,9800,244,176,239,177,176,294
110,5625,9890,246,177.5,241,178.5,177.5,296.5
