Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,700,250,35,30,40,43,26,42
2,900,400,39,33.5,45,48,29.5,47
3,1100,550,43,37,50,53,33,52
4,1300,700,47,40.5,55,58,36.5,57
5,1500,850,51,44,60,63,40,62
6,1700,1000,55,47.5,65,68,43.5,67
7,1900,1150,59,51,70,73,47,72
8,2100,1300,63,54.5,75,78,50.5,77
9,2300,1450,67,58,80,83,54,82
10,2500,1600,71,61.5,85,88,57.5,87
11,2700,1750,75,65,90,93,61,92
12,2900,1900,79,68.5,95,98,64.5,97
13,3100,2050,83,72,100,103,68,102
14,3300,2200,87,75.5,105,108,71.5,107
15,3500,2350,91,79,110,113,75,112
16,3700,2500,95,82.5,115,118,78.5,117
17,3900,2650,99,86,120,123,82,122
18,4100,2800,103,89.5,125,128,85.5,127
19,4300,2950,107,93,130,133,89,132
20,4500,3100,111,96.5,135,138,92.5,137
21,4700,3250,115,100,140,143,96,142
22,4900,3400,119,103.5,145,148,99.5,147
23,5100,3550,123,107,150,153,103,152
24,5300,3700,127,110.5,155,158,106.5,157
25,5500,3850,131,114,160,163,110,162
26,5700,4000,135,117.5,165,168,113.5,167
27,5900,4150,139,121,170,173,117,172
28,6100,4300,143,124.5,175,178,120.5,177
29,6300,4450,147,128,180,183,124,182
30,6500,4600,151,131.5,185,188,127.5,187
31,6700,4750,155,135,190,193,131,192
32,6900,4900,159,138.5,195,198,134.5,197
33,7100,5050,163,142,200,203,138,202
34,7300,5200,167,145.5,205,208,141.5,207
35,7500,5350,171,149,210,213,145,212
36,7700,5500,175,152.5,215,218,148.5,217
37,7900,5650,179,156,220,223,152,222
38,8100,5800,183,159.5,225,228,155.5,227
39,8300,5950,187,163,230,233,159,232
40,8500,6100,191,166.5,235,238,162.5,237
41,8700,6250,195,170,240,243,166,242
42,8900,6400,199,173.5,245,248,169.5,247
43,9100,6550,203,177,250,253,173,252
44,9300,6700,207,180.5,255,258,176.5,257
45,9500,6850,211,184,260,263,180,262
46,9700,7000,215,187.5,265,268,183.5,267
47,9900,7150,219,191,270,273,187,272
48,10100,7300,223,194.5,275,278,190.5,277
49,10300,7450,227,198,280,283,194,282
50,10500,7600,231,201.5,285,288,197.5,287
51,10700,7750,235,205,290,293,201,292
52,10900,7900,239,208.5,295,298,204.5,297
53,11100,8050,243,212,300,303,208,302
54,11300,8200,247,215.5,305,308,211.5,307
55,11500,8350,251,219,310,313,215,312
56,11700,8500,255,222.5,315,318,218.5,317
57,11900,8650,259,226,320,323,222,322
58,12100,8800,263,229.5,325,328,225.5,327
59,12300,8950,267,233,330,333,229,332
60,12500,9100,271,236.5,335,338,232.5,337
61,12700,9250,275,240,340,343,236,342
62,12900,9400,279,243.5,345,348,239.5,347
63,13100,9550,283,247,350,353,243,352
64,13300,9700,287,250.5,355,358,246.5,357
65,13500,9850,291,254,360,363,250,362
66,13700,10000,295,257.5,365,368,253.5,367
67,13900,10150,299,261,370,373,257,372
68,14100,10300,303,264.5,375,378,260.5,377
69,14300,10450,307,268,380,383,264,382
70,14500,10600,311,271.5,385,388,267.5,387
71,14700,10750,315,275,390,393,271,392
72,14900,10900,319,278.5,395,398,274.5,397
73,15100,11050,323,282,400,403,278,402
74,15300,11200,327,285.5,405,408,281.5,407
75,15500,11350,331,289,410,413,285,412
76,15700,11500,335,292.5,415,418,288.5,417
77,15900,11650,339,296,420,423,292,422
78,16100,11800,343,299.5,425,428,295.5,427
79,16300,11950,347,303,430,433,299,432
80,16500,12100,351,306.5,435,438,302.5,437
81,16700,12250,355,310,440,443,306,442
82,16900,12400,359,313.5,445,448,309.5,447
83,17100,12550,363,317,450,453,313,452
84,17300,12700,367,320.5,455,458,316.5,457
85,17500,12850,371,324,460,463,320,462
86,17700,13000,375,327.5,465,468,323.5,467
87,17900,13150,379,331,470,473,327,472
88,18100,13300,383,334.5,475,478,330.5,477
89,18300,13450,387,338,480,483,334,482
90,18500,13600,391,341.5,485,488,337.5,487
91,18700,13750,395,345,490,493,341,492
92,18900,13900,399,348.5,495,498,344.5,497
93,19100,14050,403,352,500,503,348,502
94,19300,14200,407,355.5,505,508,351.5,507
95,19500,14350,411,359,510,513,355,512
96,19700,14500,415,362.5,515,518,358.5,517
97,19900,14650,419,366,520,523,362,522
98,20100,14800,423,369.5,525,528,365.5,527
99,20300,14950,427,373,530,533,369,532
100,20500,15100,431,376.5,535,538,372.5,537
101,20700,15250,435,380,540,543,376,542
102,20900,15400,439,383.5,545,548,379.5,547
103,21100,15550,443,387,550,553,383,552
104,21300,15700,447,390.5,555,558,386.5,557
105,21500,15850,451,394,560,563,390,562
106,21700,16000,455,397.5,565,568,393.5,567
107,21900,16150,459,401,570,573,397,572
108,22100,16300,463,404.5,575,578,400.5,577
109,22300,16450,467,408,580,583,404,582
110,22500,16600,471,411.5,585,588,407.5,587
