Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,1200,150,43,46,40,40,36,46
2,1450,270,47.5,50.5,43.5,43.5,40,51
3,1700,390,52,55,47,47,44,56
4,1950,510,56.5,59.5,50.5,50.5,48,61
5,2200,630,61,64,54,54,52,66
6,2450,750,65.5,68.5,57.5,57.5,56,71
7,2700,870,70,73,61,61,60,76
8,2950,990,74.5,77.5,64.5,64.5,64,81
9,3200,1110,79,82,68,68,68,86
10,3450,1230,83.5,86.5,71.5,71.5,72,91
11,3700,1350,88,91,75,75,76,96
12,3950,1470,92.5,95.5,78.5,78.5,80,101
13,4200,1590,97,100,82,82,84,106
14,4450,1710,101.5,104.5,85.5,85.5,88,111
15,4700,1830,106,109,89,89,92,116
16,4950,1950,110.5,113.5,92.5,92.5,96,121
17,5200,2070,115,118,96,96,100,126
18,5450,2190,119.5,122.5,99.5,99.5,104,131
19,5700,2310,124,127,103,103,108,136
20,5950,2430,128.5,131.5,106.5,106.5,112,141
21,6200,2550,133,136,110,110,116,146
22,6450,2670,137.5,140.5,113.5,113.5,120,151
23,6700,2790,142,145,117,117,124,156
24,6950,2910,146.5,149.5,120.5,120.5,128,161
25,7200,3030,151,154,124,124,132,166
26,7450,3150,155.5,158.5,127.5,127.5,136,171
27,7700,3270,160,163,131,131,140,176
28,7950,3390,164.5,167.5,134.5,134.5,144,181
29,8200,3510,169,172,138,138,148,186
30,8450,3630,173.5,176.5,141.5,141.5,152,191
31,8700,3750,178,181,145,145,156,196
32,8950,3870,182.5,185.5,148.5,148.5,160,201
33,9200,3990,187,190,152,152,164,206
34,9450,4110,191.5,194.5,155.5,155.5,168,211
35,9700,4230,196,199,159,159,172,216
36,9950,4350,200.5,203.5,162.5,162.5,176,221
37,10200,4470,205,208,166,166,180,226
38,10450,4590,209.5,212.5,169.5,169.5,184,231
39,10700,4710,214,217,173,173,188,236
40,10950,4830,218.5,221.5,176.5,176.5,192,241
41,11200,4950,223,226,180,180,196,246
42,11450,5070,227.5,230.5,183.5,183.5,200,251
43,11700,5190,232,235,187,187,204,256
44,11950,5310,236.5,239.5,190.5,190.5,208,261
45,12200,5430,241,244,194,194,212,266
46,12450,5550,245.5,248.5,197.5,197.5,216,271
47,12700,5670,250,253,201,201,220,276
48,12950,5790,254.5,257.5,204.5,204.5,224,281
49,13200,5910,259,262,208,208,228,286
50,13450,6030,263.5,266.5,211.5,211.5,232,291
51,13700,6150,268,271,215,215,236,296
52,13950,6270,272.5,275.5,218.5,218.5,240,301
53,14200,6390,277,280,222,222,244,306
54,14450,6510,281.5,284.5,225.5,225.5,248,311
55,14700,6630,286,289,229,229,252,316
56,14950,6750,290.5,293.5,232.5,232.5,256,321
57,15200,6870,295,298,236,236,260,326
58,15450,6990,299.5,302.5,239.5,239.5,264,331
59,15700,7110,304,307,243,243,268,336
60,15950,7230,308.5,311.5,246.5,246.5,272,341
61,16200,7350,313,316,250,250,276,346
62,16450,7470,317.5,320.5,253.5,253.5,280,351
63,16700,7590,322,325,257,257,284,356
64,16950,7710,326.5,329.5,260.5,260.5,288,361
65,17200,7830,331,334,264,264,292,366
66,17450,7950,335.5,338.5,267.5,267.5,296,371
67,17700,8070,340,343,271,271,300,376
68,17950,8190,344.5,347.5,274.5,274.5,304,381
69,18200,8310,349,352,278,278,308,386
70,18450,8430,353.5,356.5,281.5,281.5,312,391
71,18700,8550,358,361,285,285,316,396
72,18950,8670,362.5,365.5,288.5,288.5,320,401
73,19200,8790,367,370,292,292,324,406
74,19450,8910,371.5,374.5,295.5,295.5,328,411
75,19700,9030,376,379,299,299,332,416
76,19950,9150,380.5,383.5,302.5,302.5,336,421
77,20200,9270,385,388,306,306,340,426
78,20450,9390,389.5,392.5,309.5,309.5,344,431
79,20700,9510,394,397,313,313,348,436
80,20950,9630,398.5,401.5,316.5,316.5,352,441
81,21200,9750,403,406,320,320,356,446
82,21450,9870,407.5,410.5,323.5,323.5,360,451
83,21700,9990,412,415,327,327,364,456
84,21950,10110,416.5,419.5,330.5,330.5,368,461
85,22200,10230,421,424,334,334,372,466
86,22450,10350,425.5,428.5,337.5,337.5,376,471
87,22700,10470,430,433,341,341,380,476
88,22950,10590,434.5,437.5,344.5,344.5,384,481
89,23200,10710,439,442,348,348,388,486
90,23450,10830,443.5,446.5,351.5,351.5,392,491
91,23700,10950,448,451,355,355,396,496
92,23950,11070,452.5,455.5,358.5,358.5,400,501
93,24200,11190,457,460,362,362,404,506
94,24450,11310,461.5,464.5,365.5,365.5,408,511
95,24700,11430,466,469,369,369,412,516
96,24950,11550,470.5,473.5,372.5,372.5,416,521
97,25200,11670,475,478,376,376,420,526
98,25450,11790,479.5,482.5,379.5,379.5,424,531
99,25700,11910,484,487,383,383,428,536
100,25950,12030,488.5,491.5,386.5,386.5,432,541
101,26200,12150,493,496,390,390,436,546
102,26450,12270,497.5,500.5,393.5,393.5,440,551
103,26700,12390,502,505,397,397,444,556
104,26950,12510,506.5,509.5,400.5,400.5,448,561
105,27200,12630,511,514,404,404,452,566
106,27450,12750,515.5,518.5,407.5,407.5,456,571
107,27700,12870,520,523,411,411,460,576
108,27950,12990,524.5,527.5,414.5,414.5,464,581
109,28200,13110,529,532,418,418,468,586
110,28450,13230,533.5,536.5,421.5,421.5,472,591
