Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,90,20,24,25,19,21,21,23
2,95,30,26,27,20,22.5,22,24.5
3,100,40,28,29,21,24,23,26
4,105,50,30,31,22,25.5,24,27.5
5,110,60,32,33,23,27,25,29
6,115,70,34,35,24,28.5,26,30.5
7,120,80,36,37,25,30,27,32
8,125,90,38,39,26,31.5,28,33.5
9,130,100,40,41,27,33,29,35
10,135,110,42,43,28,34.5,30,36.5
11,140,120,44,45,29,36,31,38
12,145,130,46,47,30,37.5,32,39.5
13,150,140,48,49,31,39,33,41
14,155,150,50,51,32,40.5,34,42.5
15,160,160,52,53,33,42,35,44
16,165,170,54,55,34,43.5,36,45.5
17,170,180,56,57,35,45,37,47
18,175,190,58,59,36,46.5,38,48.5
19,180,200,60,61,37,48,39,50
20,185,210,62,63,38,49.5,40,51.5
21,190,220,64,65,39,51,41,53
22,195,230,66,67,40,52.5,42,54.5
23,200,240,68,69,41,54,43,56
24,205,250,70,71,42,55.5,44,57.5
25,210,260,72,73,43,57,45,59
26,215,270,74,75,44,58.5,46,60.5
27,220,280,76,77,45,60,47,62
28,225,290,78,79,46,61.5,48,63.5
29,230,300,80,81,47,63,49,65
30,235,310,82,83,48,64.5,50,66.5
31,240,320,84,85,49,66,51,68
32,245,330,86,87,50,67.5,52,69.5
33,250,340,88,89,51,69,53,71
34,255,350,90,91,52,70.5,54,72.5
35,260,360,92,93,53,72,55,74
36,265,370,94,95,54,73.5,56,75.5
37,270,380,96,97,55,75,57,77
38,275,390,98,99,56,76.5,58,78.5
39,280,400,100,101,57,78,59,80
40,285,410,102,103,58,79.5,60,81.5
41,290,420,104,105,59,81,61,83
42,295,430,106,107,60,82.5,62,84.5
43,300,440,108,109,61,84,63,86
44,305,450,110,111,62,85.5,64,87.5
45,310,460,112,113,63,87,65,89
46,315,470,114,115,64,88.5,66,90.5
47,320,480,116,117,65,90,67,92
48,325,490,118,119,66,91.5,68,93.5
49,330,500,120,121,67,93,69,95
50,335,510,122,123,68,94.5,70,96.5
51,340,520,124,125,69,96,71,98
52,345,530,126,127,70,97.5,72,99.5
53,350,540,128,129,71,99,73,101
54,355,550,130,131,72,100.5,74,102.5
55,360,560,132,133,73,102,75,104
56,365,570,134,135,74,103.5,76,105.5
57,370,580,136,137,75,105,77,107
58,375,590,138,139,76,106.5,78,108.5
59,380,600,140,141,77,108,79,110
60,385,610,142,143,78,109.5,80,111.5
61,390,620,144,145,79,111,81,113
62,395,630,146,147,80,112.5,82,114.5
63,400,640,148,149,81,114,83,116
64,405,650,150,151,82,115.5,84,117.5
65,410,660,152,153,83,117,85,119
66,415,670,154,155,84,118.5,86,120.5
67,420,680,156,157,85,120,87,122
68,425,690,158,159,86,121.5,88,123.5
69,430,700,160,161,87,123,89,125
70,435,710,162,163,88,124.5,90,126.5
71,440,720,164,165,89,126,91,128
72,445,730,166,167,90,127.5,92,129.5
73,450,740,168,169,91,129,93,131
74,455,750,170,171,92,130.5,94,132.5
75,460,760,172,173,93,132,95,134
76,465,770,174,175,94,133.5,96,135.5
77,470,780,176,177,95,135,97,137
78,475,790,178,179,96,136.5,98,138.5
79,480,800,180,181,97,138,99,140
80,485,810,182,183,98,139.5,100,141.5
81,490,820,184,185,99,141,101,143
82,495,830,186,187,100,142.5,102,144.5
83,500,840,188,189,101,144,103,146
84,505,850,190,191,102,145.5,104,147.5
85,510,860,192,193,103,147,105,149
86,515,870,194,195,104,148.5,106,150.5
87,520,880,196,197,105,150,107,152
88,525,890,198,199,106,151.5,108,153.5
89,530,900,200,201,107,153,109,155
90,535,910,202,203,108,154.5,110,156.5
91,540,920,204,205,109,156,111,158
92,545,930,206,207,110,157.5,112,159.5
93,550,940,208,209,111,159,113,161
94,555,950,210,211,112,160.5,114,162.5
95,560,960,212,213,113,162,115,164
96,565,970,214,215,114,163.5,116,165.5
97,570,980,216,217,115,165,117,167
98,575,990,218,219,116,166.5,118,168.5
99,580,1000,220,221,117,168,119,170
100,585,1010,222,223,118,169.5,120,171.5
101,590,1020,224,225,119,171,121,173
102,595,1030,226,227,120,172.5,122,174.5
103,600,1040,228,229,121,174,123,176
104,605,1050,230,231,122,175.5,124,177.5
105,610,1060,232,233,123,177,125,179
106,615,1070,234,235,124,178.5,126,180.5
107,620,1080,236,237,125,180,127,182
108,625,1090,238,239,126,181.5,128,183.5
109,630,1100,240,241,127,183,129,185
110,635,1110,242,243,128,184.5,130,186.5
